,Sample_ID,Site_ID,Percent_Bleached,Date_Day,Date_Month,Date_Year,Ecoregion_Name,Latitude_Degrees,Longitude_Degrees
3488,10331642,999424,0.0,21.0,2.0,2013.0,6.0,23.07128333,-73.78478333
3490,10331646,999425,0.0,22.0,2.0,2013.0,6.0,23.07783333,-73.64955
3492,10331644,999426,0.0,21.0,2.0,2013.0,6.0,23.0894,-73.82238333
3494,10331648,999427,0.0,22.0,2.0,2013.0,6.0,23.0998,-73.67068333
3495,10331640,999428,0.0,22.0,2.0,2013.0,6.0,23.10675,-73.77261667
3504,10331423,999429,0.0,10.0,10.0,2006.0,6.0,24.19667053,-77.58569336
3509,10331424,999430,25.47619048,10.0,10.0,2006.0,6.0,24.21817017,-77.59725189
3515,10331426,999431,6.666666667,10.0,10.0,2006.0,6.0,24.23283005,-77.6075592
3520,10331422,999432,0.0,10.0,10.0,2006.0,6.0,24.23399925,-77.61710358
3523,10331418,999433,13.53785103,11.0,10.0,2006.0,6.0,24.24213982,-77.62085724
