,0
0,27.13
1,27.08
2,26.93
3,27.06
4,27.4
5,27.41
6,27.41
7,27.279999
8,27.31
9,27.029999
10,26.81
11,26.83
12,26.82
13,26.9
14,26.82
15,26.699999
16,26.67
17,26.609999
18,26.8
19,26.91
20,26.91
21,26.869999
22,26.9
23,26.74
24,26.67
25,26.689999
26,26.699999
27,26.769999
28,26.59
29,26.66
30,26.699999
31,26.75
32,26.699999
33,26.72
34,26.699999
35,26.58
36,26.59
37,26.529999
38,26.68
39,26.82
40,26.88
41,26.82
42,26.56
43,26.48
44,26.279999
45,26.199999
46,26.189999
47,26.06
48,26.26
49,26.31
50,26.32
51,26.17
52,26.15
53,26.21
54,26.55
55,26.67
56,26.699999
57,26.58
58,26.47
59,26.41
60,26.449999
61,26.5
62,26.539999
63,26.56
64,26.46
65,26.39
66,26.33
67,26.23
68,26.369999
69,26.15
70,26.199999
71,25.83
72,26.18
73,26.289999
74,26.269999
75,26.289999
76,26.32
77,26.38
78,26.39
79,26.32
80,26.289999
81,26.359999
82,26.24
83,26.34
84,26.4
85,26.439999
86,26.46
87,26.67
88,26.72
89,26.609999
90,26.48
91,26.38
92,26.49
93,27.14
94,27.22
95,27.33
96,27.47
97,27.43
98,27.189999
99,27.029999
100,26.88
101,26.76
102,26.49
103,26.47
104,26.47
105,26.449999
106,26.39
107,26.439999
108,26.68
109,26.619999
110,26.609999
111,26.46
112,26.33
113,26.539999
114,26.3
115,25.869999
116,25.9
117,26.48
118,26.96
119,27.0
120,27.01
121,27.0
122,27.019999
123,27.0
124,27.349998
125,27.34
126,27.34
127,27.289999
128,27.289999
129,27.21
130,27.17
131,27.17
132,27.369999
133,27.449999
134,27.55
135,27.369999
136,27.289999
137,27.019999
138,26.97
139,26.789999
140,27.17
141,27.51
142,27.609999
143,27.439999
144,27.46
145,27.369999
146,27.449999
147,27.449999
148,27.47
149,27.369999
150,26.59
151,26.51
152,26.65
153,26.68
154,26.63
155,26.38
156,26.609999
157,26.699999
158,26.66
159,26.67
160,26.76
161,26.73
162,26.75
163,26.68
164,26.699999
165,26.99
166,26.88
167,26.59
168,26.56
169,26.68
170,26.68
171,26.76
172,26.67
173,26.68
174,26.83
175,26.99
176,27.029999
177,27.029999
178,27.17
179,27.09
180,26.949999
181,26.82
182,26.789999
183,26.939999
184,27.0
185,27.18
186,27.39
187,27.67
188,27.789999
189,27.9
190,27.75
191,27.92
192,27.619999
193,27.64
194,27.32
195,27.269999
196,27.189999
197,27.83
198,27.92
199,27.9
200,27.769999
201,27.84
202,27.92
203,27.9
204,27.779999
205,27.65
206,27.599998
207,27.779999
208,27.8
209,28.279999
210,28.189999
211,28.15
212,28.0
213,28.31
214,28.359999
215,28.359999
216,27.66
217,27.939999
218,27.89
219,28.449999
220,28.449999
221,28.73
222,28.56
223,28.82
224,28.369999
225,28.449999
226,28.599998
227,28.66
228,28.68
229,29.099998
230,29.369999
231,29.39
232,29.65
233,29.32
234,29.279999
235,28.939999
236,28.83
237,28.75
238,28.789999
239,28.47
240,28.439999
241,28.359999
242,28.439999
243,28.43
244,28.56
245,28.76
246,28.939999
247,28.88
248,29.06
249,28.99
250,29.119999
251,29.23
252,29.099998
253,28.91
254,28.43
255,28.39
256,28.24
257,28.289999
258,28.41
259,29.08
260,29.09
261,29.099998
262,28.81
263,28.47
264,28.789999
265,28.789999
266,28.84
267,28.96
268,29.14
269,28.67
270,28.699999
271,28.63
272,28.76
273,28.859999
274,28.82
275,28.58
276,28.34
277,28.07
278,27.949999
279,28.029999
280,28.3
281,28.49
282,28.68
283,28.76
284,28.66
285,28.48
286,28.65
287,28.56
288,28.49
289,28.789999
290,28.88
291,28.939999
292,29.109999
293,29.24
294,29.41
295,29.109999
296,28.93
297,28.849998
298,28.73
299,28.9
300,28.89
301,28.88
302,28.9
303,28.58
304,28.48
305,28.74
306,28.66
307,28.58
308,28.39
309,28.41
310,28.17
311,28.0
312,27.99
313,27.99
314,27.99
315,28.019999
316,28.21
317,28.18
318,28.269999
319,28.109999
320,27.599998
321,27.779999
322,27.789999
323,27.81
324,27.91
325,27.92
326,27.81
327,27.88
328,27.68
329,27.599998
330,27.439999
331,27.46
332,27.48
333,27.51
334,27.33
335,27.48
336,27.39
337,27.47
338,27.46
339,27.41
340,27.519999
341,27.449999
342,27.5
343,27.449999
344,27.25
345,27.17
346,27.099998
347,27.019999
348,26.97
349,27.06
350,27.17
351,27.17
352,27.16
353,26.98
354,26.83
355,26.949999
356,26.91
357,26.88
358,26.779999
359,26.859999
360,26.949999
361,26.98
362,26.84
363,26.76
364,26.65
365,26.66
366,26.63
367,26.68
368,26.64
369,26.66
370,26.58
371,26.57
372,26.599998
373,26.65
374,26.599998
375,26.32
376,26.349998
377,26.23
378,26.039999
379,25.99
380,26.15
381,26.23
382,26.189999
383,26.31
384,26.189999
385,26.189999
386,26.26
387,26.039999
388,26.439999
389,26.75
390,26.83
391,27.0
392,26.519999
393,26.43
394,26.72
395,26.66
396,26.64
397,26.369999
398,26.18
399,26.189999
400,26.189999
401,26.22
402,26.22
403,26.17
404,26.599998
405,26.449999
406,26.38
407,25.92
408,25.71
409,25.539999
410,25.359999
411,25.17
412,25.1
413,25.38
414,25.64
415,25.66
416,25.65
417,25.599998
418,25.439999
419,25.519999
420,25.519999
421,25.48
422,25.32
423,25.83
424,25.98
425,25.97
426,25.67
427,25.449999
428,25.47
429,25.73
430,25.84
431,25.93
432,25.789999
433,25.949999
434,25.92
435,25.92
436,26.05
437,26.06
438,26.109999
439,26.119999
440,26.029999
441,25.88
442,25.869999
443,25.949999
444,26.119999
445,25.859999
446,25.97
447,26.0
448,26.099998
449,25.91
450,25.98
451,26.01
452,26.349998
453,26.34
454,26.3
455,26.24
456,26.189999
457,26.16
458,26.01
459,26.15
460,26.18
461,26.5
462,26.39
463,26.33
464,26.34
465,26.3
466,26.289999
467,26.21
468,26.25
469,26.31
470,26.4
471,26.31
472,26.34
473,26.55
474,26.67
475,26.71
476,26.619999
477,26.59
478,26.64
479,26.55
480,26.849998
481,26.869999
482,26.769999
483,26.949999
484,26.8
485,26.72
486,26.66
487,26.72
488,26.779999
489,26.38
490,26.75
491,26.82
492,26.82
493,26.99
494,26.939999
495,26.96
496,27.05
497,27.05
498,27.13
499,27.119999
500,27.09
501,27.599998
502,27.43
503,27.269999
504,27.4
505,27.519999
506,27.76
507,27.699999
508,27.769999
509,27.59
510,27.32
511,27.26
512,27.82
513,27.72
514,27.609999
515,27.56
516,27.49
517,27.34
518,27.23
519,27.289999
520,27.289999
521,27.189999
522,27.199999
523,27.24
524,27.22
525,27.22
526,27.039999
527,26.939999
528,26.539999
529,26.65
530,27.16
531,27.109999
532,27.019999
533,27.199999
534,27.39
535,27.56
536,27.73
537,27.66
538,27.49
539,27.26
540,27.26
541,27.039999
542,27.06
543,27.07
544,27.019999
545,27.099998
546,27.119999
547,27.17
548,27.07
549,27.08
550,27.439999
551,27.48
552,27.57
553,27.42
554,27.689999
555,27.68
556,27.72
557,27.47
558,27.519999
559,27.58
560,27.65
561,27.64
562,27.42
563,28.039999
564,28.13
565,28.189999
566,28.67
567,28.289999
568,28.71
569,28.59
570,28.529999
571,28.48
572,28.539999
573,28.57
574,28.71
575,28.23
576,28.25
577,27.93
578,28.15
579,28.34
580,28.5
581,28.55
582,28.619999
583,28.63
584,28.4
585,29.279999
586,29.24
587,29.349998
588,29.4
589,29.21
590,28.97
591,29.22
592,29.32
593,29.24
594,28.97
595,28.72
596,28.699999
597,28.65
598,28.76
599,28.699999
600,28.73
601,28.81
602,28.769999
603,28.73
604,28.73
605,28.439999
606,28.64
607,28.51
608,28.539999
609,28.5
610,28.18
611,28.25
612,28.14
613,28.24
614,28.529999
615,28.769999
616,28.73
617,28.619999
618,28.269999
619,28.369999
620,28.33
621,28.609999
622,28.74
623,29.199999
624,28.83
625,28.25
626,28.15
627,28.199999
628,28.46
629,28.65
630,28.769999
631,28.89
632,28.91
633,29.039999
634,28.75
635,28.71
636,28.48
637,28.38
638,28.279999
639,28.41
