,0
0,27.15
1,27.119999
2,26.99
3,27.05
4,27.34
5,27.38
6,27.41
7,27.33
8,27.38
9,27.05
10,26.769999
11,26.74
12,26.689999
13,26.74
14,26.65
15,26.519999
16,26.49
17,26.47
18,26.64
19,26.779999
20,26.789999
21,26.75
22,26.769999
23,26.599998
24,26.519999
25,26.56
26,26.58
27,26.66
28,26.519999
29,26.64
30,26.68
31,26.699999
32,26.619999
33,26.599998
34,26.59
35,26.57
36,26.63
37,26.609999
38,26.769999
39,26.869999
40,26.91
41,26.849998
42,26.609999
43,26.539999
44,26.26
45,26.17
46,26.18
47,26.08
48,26.269999
49,26.3
50,26.279999
51,26.17
52,26.16
53,26.23
54,26.529999
55,26.609999
56,26.63
57,26.51
58,26.38
59,26.34
60,26.359999
61,26.4
62,26.519999
63,26.57
64,26.439999
65,26.33
66,26.23
67,26.119999
68,26.25
69,26.06
70,26.109999
71,25.81
72,26.189999
73,26.25
74,26.22
75,26.25
76,26.25
77,26.279999
78,26.24
79,26.22
80,26.25
81,26.349998
82,26.24
83,26.33
84,26.39
85,26.41
86,26.38
87,26.57
88,26.59
89,26.46
90,26.33
91,26.25
92,26.38
93,26.939999
94,26.98
95,27.05
96,27.269999
97,27.24
98,27.019999
99,26.88
100,26.76
101,26.66
102,26.34
103,26.22
104,26.18
105,26.189999
106,26.18
107,26.269999
108,26.539999
109,26.519999
110,26.539999
111,26.439999
112,26.33
113,26.55
114,26.369999
115,25.849998
116,25.89
117,26.439999
118,26.92
119,26.949999
120,26.939999
121,26.93
122,26.939999
123,26.939999
124,27.279999
125,27.3
126,27.3
127,27.189999
128,27.16
129,27.07
130,27.05
131,27.09
132,27.269999
133,27.349998
134,27.449999
135,27.269999
136,27.16
137,26.88
138,26.8
139,26.64
140,27.07
141,27.41
142,27.51
143,27.34
144,27.359999
145,27.26
146,27.359999
147,27.349998
148,27.38
149,27.3
150,26.599998
151,26.55
152,26.65
153,26.699999
154,26.63
155,26.38
156,26.63
157,26.72
158,26.689999
159,26.67
160,26.73
161,26.699999
162,26.73
163,26.66
164,26.67
165,26.939999
166,26.859999
167,26.59
168,26.59
169,26.72
170,26.72
171,26.779999
172,26.619999
173,26.56
174,26.689999
175,26.83
176,26.869999
177,26.849998
178,26.99
179,26.88
180,26.74
181,26.599998
182,26.699999
183,26.9
184,26.93
185,27.099998
186,27.3
187,27.529999
188,27.599998
189,27.689999
190,27.55
191,27.74
192,27.48
193,27.519999
194,27.21
195,27.16
196,27.08
197,27.72
198,27.83
199,27.84
200,27.65
201,27.789999
202,27.91
203,27.92
204,27.769999
205,27.609999
206,27.539999
207,27.75
208,27.81
209,28.189999
210,28.05
211,27.949999
212,27.88
213,28.15
214,28.24
215,28.24
216,27.51
217,27.81
218,27.769999
219,28.33
220,28.3
221,28.539999
222,28.33
223,28.619999
224,28.18
225,28.439999
226,28.55
227,28.57
228,28.56
