,0
0,25.599998
1,25.63
2,25.83
3,26.07
4,26.109999
5,26.17
6,26.019999
7,26.0
8,25.859999
9,26.039999
10,26.109999
11,26.14
12,26.029999
13,25.89
14,25.84
15,25.71
16,25.599998
17,25.49
18,25.46
19,25.42
20,25.43
21,25.41
22,25.56
23,25.55
24,25.58
25,25.5
26,25.519999
27,25.539999
28,25.8
29,25.71
30,25.65
31,25.57
32,25.599998
33,25.699999
34,25.8
35,25.779999
36,25.699999
37,25.63
38,25.449999
39,25.56
40,25.599998
41,25.59
42,25.539999
43,26.09
44,25.939999
45,25.83
46,25.72
47,25.449999
48,25.42
49,25.31
50,25.43
51,25.449999
52,25.43
53,25.46
54,25.57
55,25.539999
56,25.5
57,25.64
58,25.72
59,25.779999
60,25.8
61,25.859999
62,25.67
63,25.67
64,25.74
65,25.789999
66,25.67
67,25.66
68,25.609999
69,25.65
70,25.83
71,25.93
72,26.15
73,26.05
74,26.029999
75,26.14
76,26.22
77,26.33
78,26.019999
79,25.82
80,25.98
81,26.17
82,26.33
83,26.47
84,26.39
85,26.4
86,26.43
87,26.449999
88,26.58
89,26.689999
90,26.699999
91,26.689999
92,26.66
93,26.64
94,26.68
95,26.689999
96,26.22
97,26.199999
98,26.59
99,26.68
100,26.76
101,26.619999
102,26.779999
103,26.82
104,26.82
105,27.039999
106,26.939999
107,26.97
108,27.289999
109,27.439999
110,27.449999
111,27.539999
112,27.56
113,27.47
114,27.65
115,27.689999
116,27.76
117,27.599998
118,27.48
119,27.289999
120,27.06
121,26.92
122,26.89
123,26.88
124,27.25
125,27.31
126,27.42
127,27.4
128,27.59
129,27.609999
130,27.67
131,27.55
132,27.38
133,27.39
134,27.23
135,27.26
136,27.369999
137,27.449999
138,27.5
139,28.18
140,27.55
141,27.349998
142,27.439999
143,27.47
144,27.58
145,27.5
146,27.76
147,27.8
148,27.769999
149,27.8
150,27.84
151,27.849998
152,27.81
153,27.8
154,27.66
155,27.75
156,27.71
157,27.689999
158,27.9
159,27.92
160,27.96
161,28.21
162,28.01
163,28.01
164,27.96
165,27.779999
166,27.57
167,27.23
168,27.84
169,27.88
170,27.89
171,27.81
172,28.039999
173,27.84
174,28.029999
175,28.0
176,28.029999
177,27.72
178,27.609999
179,27.63
180,27.67
181,27.699999
182,27.73
183,27.849998
184,27.619999
185,27.55
186,28.08
187,28.32
188,28.449999
189,28.49
190,28.42
191,28.519999
192,28.289999
193,28.09
194,28.199999
195,28.39
196,28.41
197,28.4
198,28.4
199,28.46
200,28.609999
201,28.64
202,28.66
203,28.68
204,28.73
205,28.68
206,28.59
207,28.849998
208,28.769999
209,28.38
210,28.539999
211,29.01
212,29.32
213,29.42
214,28.91
215,28.93
216,28.96
217,28.949999
218,28.949999
219,28.74
220,28.849998
221,28.859999
222,28.849998
223,28.59
224,28.06
225,28.0
226,28.289999
227,28.369999
228,28.289999
229,28.59
230,28.619999
231,28.63
232,28.71
233,28.039999
234,27.58
235,28.279999
236,28.43
237,28.859999
238,29.0
239,28.91
240,28.859999
241,28.869999
242,28.93
243,28.96
244,28.55
245,28.75
246,28.789999
247,28.9
248,28.869999
249,28.96
250,29.41
251,29.51
252,29.529999
253,29.5
254,29.55
255,29.57
256,29.63
257,29.189999
258,29.289999
259,29.17
260,29.14
261,28.99
262,29.019999
263,29.3
264,29.65
265,29.71
266,29.779999
267,29.529999
268,29.55
269,29.119999
270,29.3
271,29.39
272,29.49
273,29.4
274,29.359999
275,28.769999
276,28.41
277,28.25
278,28.38
279,28.59
280,28.58
281,28.56
282,28.519999
283,28.59
284,28.4
285,27.96
286,28.359999
287,28.269999
288,28.13
289,27.88
290,27.869999
291,27.98
292,28.039999
293,28.099998
294,28.189999
295,28.43
296,28.56
297,28.66
298,28.59
299,28.38
300,28.21
301,28.119999
302,28.14
303,28.06
304,28.109999
305,27.83
306,27.789999
307,27.76
308,27.68
309,27.63
310,27.66
311,27.63
312,27.619999
313,27.59
314,27.58
315,27.83
316,27.83
317,27.9
318,27.939999
319,27.96
320,27.98
321,27.939999
322,27.93
323,27.939999
324,28.14
325,28.14
326,28.15
327,27.8
328,27.8
329,27.529999
330,27.48
331,27.289999
332,27.349998
333,27.34
334,27.38
335,27.4
336,27.41
337,26.73
338,26.599998
339,26.56
340,26.769999
341,26.789999
342,26.83
343,26.8
344,26.68
345,26.59
346,26.67
347,26.67
348,26.699999
349,26.65
350,26.689999
351,26.66
352,26.63
353,26.529999
354,26.55
355,26.57
356,26.58
357,26.619999
358,26.65
359,26.439999
360,26.43
361,26.38
362,26.359999
363,26.33
364,26.279999
365,26.24
366,26.22
367,26.199999
368,26.029999
369,25.779999
370,25.68
371,25.64
372,25.66
373,25.63
374,25.65
375,25.619999
376,25.609999
377,25.699999
378,25.73
379,25.779999
380,25.8
381,25.769999
382,25.67
383,26.0
384,25.74
385,25.88
386,25.97
387,26.3
388,26.47
389,26.58
390,26.51
391,26.449999
392,26.33
393,25.289999
394,25.34
395,25.81
396,26.26
397,26.39
398,26.07
399,25.66
400,25.369999
401,25.49
402,25.76
403,25.73
404,25.92
405,25.789999
406,25.779999
407,25.9
408,25.9
409,25.81
410,25.939999
411,26.0
412,26.14
413,26.08
414,26.17
415,26.199999
416,26.17
417,26.17
418,26.01
419,26.07
420,25.92
421,25.96
422,26.3
423,26.3
424,26.289999
425,26.289999
426,26.31
427,26.199999
428,26.25
429,26.3
430,26.24
431,25.97
432,25.8
433,25.76
434,25.82
435,25.72
436,26.01
437,26.01
438,25.89
439,25.8
440,25.83
441,25.97
442,25.97
443,25.81
444,26.48
445,26.439999
446,26.46
447,26.289999
448,26.349998
449,26.439999
450,26.539999
451,26.609999
452,26.49
453,26.369999
454,26.82
455,27.3
456,27.09
457,26.88
458,26.769999
459,26.71
460,26.51
461,26.81
462,26.8
463,26.81
464,26.67
465,26.63
466,27.01
467,27.369999
468,27.289999
469,27.4
470,27.21
471,27.199999
472,27.33
473,27.23
474,27.22
475,27.039999
476,26.88
477,26.73
478,26.65
479,26.72
480,27.369999
481,27.66
482,27.619999
483,27.609999
484,27.34
485,27.66
486,27.539999
487,27.529999
488,27.55
489,27.59
490,27.56
491,27.74
492,27.83
493,27.599998
494,27.699999
495,27.57
496,27.539999
497,27.47
498,27.49
499,27.689999
500,27.58
501,27.63
502,27.92
503,27.849998
504,27.59
505,27.81
506,27.92
507,27.949999
508,27.779999
509,28.039999
510,28.26
511,28.24
512,28.33
513,28.109999
514,28.359999
515,28.32
516,28.21
517,28.119999
518,28.199999
519,28.359999
520,28.41
521,27.68
522,27.699999
523,27.609999
524,28.05
525,27.93
526,28.09
527,27.58
528,28.41
529,28.529999
530,28.59
531,28.57
532,28.59
533,28.57
534,28.519999
535,28.38
536,28.3
537,28.189999
538,27.529999
539,27.32
540,27.65
541,27.5
542,28.01
543,27.73
544,27.68
545,27.65
546,27.56
547,27.68
548,27.64
549,27.619999
550,27.58
551,28.05
552,27.99
553,28.039999
554,28.05
555,28.039999
556,28.06
557,28.34
558,28.38
559,28.439999
560,28.369999
561,28.439999
562,28.599998
563,28.71
564,28.72
565,28.72
566,29.06
567,29.01
568,28.98
569,29.119999
570,29.08
571,29.07
572,28.91
573,28.859999
574,28.869999
575,28.82
576,28.16
577,28.289999
578,28.51
579,28.599998
580,28.64
581,28.88
582,28.91
583,28.89
584,28.98
585,28.93
586,28.699999
587,28.189999
588,28.519999
589,28.519999
590,28.599998
591,28.619999
592,28.539999
593,28.49
594,28.4
595,28.609999
596,28.689999
597,28.68
598,28.66
599,28.51
600,28.47
601,28.48
602,28.51
603,28.519999
604,28.46
605,28.47
606,28.48
607,28.38
608,28.119999
609,28.23
610,28.619999
611,28.859999
612,29.189999
613,29.189999
614,29.31
615,29.13
616,28.859999
617,28.81
618,28.68
619,28.67
620,28.98
621,29.189999
622,29.099998
623,29.119999
624,29.119999
625,28.88
626,29.119999
627,29.16
628,29.14
629,28.9
630,29.029999
631,29.01
632,28.96
633,28.96
634,28.93
635,28.88
636,28.869999
637,28.89
638,28.91
639,28.91
640,28.91
641,28.9
642,28.779999
643,28.609999
644,28.93
645,28.83
646,28.81
647,28.4
648,28.31
649,28.359999
650,28.68
651,28.72
652,28.67
653,28.5
654,28.38
655,28.47
656,28.46
657,28.619999
658,28.41
659,28.66
660,28.63
661,28.57
662,28.599998
663,28.63
664,28.539999
665,28.18
666,27.68
667,27.64
668,27.66
669,27.99
670,28.199999
671,27.16
672,26.96
673,26.97
674,27.3
675,27.24
676,27.16
677,27.0
678,27.05
679,27.019999
680,27.07
681,26.96
682,26.869999
683,26.869999
684,27.06
685,27.099998
686,27.189999
687,26.96
688,26.91
689,26.869999
690,27.0
691,26.96
692,26.96
693,27.029999
694,27.43
695,27.41
696,27.34
697,27.21
698,27.099998
699,27.279999
700,27.269999
701,27.199999
702,26.96
703,26.98
704,27.01
705,27.019999
706,26.84
707,26.779999
708,26.73
709,26.96
710,26.97
711,26.93
712,26.689999
713,26.71
714,26.72
715,26.769999
716,26.88
717,26.8
718,26.789999
719,26.97
720,26.99
721,26.689999
722,27.16
723,27.05
724,27.05
725,26.619999
726,26.98
727,26.869999
728,26.67
729,26.58
730,26.31
731,26.57
732,26.599998
733,26.56
734,26.25
735,26.33
736,26.269999
737,26.23
738,26.189999
739,26.08
740,25.97
741,26.06
742,25.89
743,25.64
744,26.119999
745,26.18
746,26.269999
747,26.07
748,25.949999
749,25.89
750,26.06
751,26.08
752,26.07
753,25.82
754,26.16
755,26.189999
756,26.51
757,26.59
758,26.59
759,26.57
760,26.8
761,26.68
762,26.64
763,26.289999
764,26.22
765,26.439999
766,25.72
767,26.23
768,26.349998
769,26.58
770,26.81
771,26.72
772,26.63
773,26.689999
774,26.539999
775,26.349998
776,26.599998
777,26.43
778,26.41
779,26.39
780,26.439999
781,26.39
782,26.349998
783,26.31
784,26.5
785,26.48
786,26.15
787,25.939999
788,25.91
789,26.099998
790,26.22
791,26.32
792,26.529999
793,26.76
794,26.71
795,26.039999
796,26.08
797,26.17
798,26.189999
799,26.05
800,25.609999
801,25.57
802,25.59
803,26.38
804,26.5
805,26.67
806,26.67
807,26.599998
808,26.57
809,26.439999
810,26.449999
811,26.42
812,26.58
813,26.32
814,26.58
815,26.73
816,26.83
817,27.189999
818,27.039999
819,27.019999
820,26.92
821,27.05
822,26.93
823,26.93
824,27.029999
825,27.099998
826,27.17
827,27.24
828,27.349998
829,27.32
830,27.73
831,27.779999
832,27.73
833,27.88
834,27.76
835,27.68
836,27.439999
837,27.4
838,27.38
839,27.39
840,27.519999
841,27.67
842,27.65
843,27.939999
844,27.81
845,27.83
846,27.84
847,27.859999
848,27.869999
849,28.01
850,27.97
851,
852,
853,
854,
855,
856,
857,
858,
859,
860,
861,
862,
863,
864,
865,
866,
867,
868,
869,
870,
871,
872,
873,
874,
875,
876,
877,
878,
879,
880,
881,
882,28.55
883,28.66
884,28.779999
885,28.88
886,28.939999
887,29.119999
888,29.17
889,29.31
890,28.949999
891,29.0
892,28.93
893,28.88
894,29.769999
895,29.88
896,29.89
897,29.699999
898,29.609999
899,29.539999
900,29.519999
901,29.369999
902,29.269999
903,29.029999
904,29.06
905,29.05
906,28.93
907,28.58
908,28.539999
909,28.72
910,28.609999
911,28.57
912,28.519999
913,28.71
914,28.71
915,28.74
916,28.779999
917,28.83
918,28.83
919,28.63
920,28.38
921,28.26
922,28.279999
923,28.34
924,28.34
925,28.38
926,28.73
927,28.789999
928,28.81
929,28.859999
930,28.84
931,28.869999
932,28.39
933,28.43
934,28.619999
935,28.73
936,28.859999
937,28.88
938,28.93
939,28.949999
940,28.98
941,28.8
942,28.33
943,28.26
944,28.439999
945,29.15
946,29.09
947,29.029999
948,28.97
949,29.05
950,28.949999
951,29.22
952,29.22
953,29.099998
954,28.84
955,28.859999
956,29.199999
957,29.369999
958,29.619999
959,29.58
960,29.49
961,29.32
962,29.15
963,29.13
964,29.21
965,29.08
966,28.98
967,29.179998
968,29.23
969,29.24
970,29.06
971,28.72
972,28.63
973,28.609999
974,28.699999
975,28.789999
976,28.88
977,29.05
978,29.13
979,29.199999
980,29.24
981,29.63
982,29.82
983,29.849998
984,29.8
985,29.849998
986,29.92
987,29.929998
988,30.09
989,30.019999
990,30.08
991,29.89
992,29.949999
993,29.9
994,29.83
995,29.789999
996,29.75
997,29.699999
998,29.609999
999,29.599998
1000,29.55
1001,29.46
1002,29.41
1003,29.369999
1004,29.3
1005,29.529999
1006,29.519999
1007,29.519999
1008,29.42
1009,29.279999
1010,29.119999
1011,29.41
1012,29.39
1013,29.23
1014,29.13
1015,28.89
1016,28.74
1017,28.57
1018,28.66
1019,28.72
1020,28.779999
1021,28.48
1022,28.8
1023,29.15
1024,28.98
1025,28.869999
1026,28.93
1027,28.91
1028,29.16
1029,28.789999
1030,28.81
1031,28.949999
1032,28.84
1033,28.83
1034,28.76
1035,28.64
1036,28.71
1037,28.75
1038,28.76
1039,28.75
1040,29.019999
1041,29.13
1042,29.099998
1043,28.9
1044,28.76
1045,28.56
1046,28.41
1047,28.349998
1048,27.99
1049,28.039999
1050,28.07
1051,28.09
1052,28.019999
1053,27.949999
1054,27.83
1055,28.099998
1056,27.689999
1057,27.779999
1058,27.63
1059,27.23
1060,27.269999
1061,27.25
1062,27.189999
1063,27.26
1064,27.17
1065,27.039999
1066,27.099998
1067,27.18
1068,27.279999
1069,27.439999
1070,27.47
1071,27.46
1072,26.859999
1073,26.939999
1074,26.82
1075,26.859999
1076,26.98
1077,27.14
1078,27.18
1079,26.84
1080,26.74
1081,26.869999
1082,27.08
1083,27.14
1084,27.019999
1085,26.859999
1086,26.57
1087,27.019999
1088,27.289999
1089,27.33
1090,27.07
1091,27.07
1092,27.119999
1093,27.18
1094,27.07
1095,27.07
1096,27.0
1097,27.13
1098,27.16
1099,26.949999
1100,26.82
1101,26.779999
1102,26.57
1103,26.56
1104,26.48
1105,26.49
1106,26.5
1107,26.519999
1108,26.56
1109,26.349998
1110,26.25
1111,26.09
1112,26.01
1113,25.869999
1114,25.82
1115,25.189999
1116,25.779999
1117,25.97
1118,25.91
1119,25.869999
1120,25.88
1121,25.67
1122,25.88
1123,25.75
1124,25.75
1125,25.849998
1126,25.789999
1127,25.789999
1128,25.42
1129,25.65
1130,25.869999
1131,26.05
1132,26.23
1133,26.279999
1134,26.33
1135,26.269999
1136,26.25
1137,26.33
1138,26.109999
1139,26.25
1140,26.289999
1141,26.51
1142,26.67
1143,26.47
1144,26.13
1145,26.22
1146,26.32
1147,26.46
1148,26.59
1149,26.619999
1150,26.699999
1151,26.64
1152,26.73
1153,26.82
1154,26.789999
1155,26.91
1156,27.029999
1157,27.01
1158,26.949999
1159,27.039999
1160,27.019999
1161,26.89
1162,26.92
1163,27.0
1164,27.09
1165,27.17
1166,27.22
1167,27.23
1168,27.17
1169,26.91
1170,27.34
1171,27.619999
1172,27.5
1173,27.449999
1174,27.539999
1175,27.81
1176,27.82
1177,27.67
1178,27.63
1179,27.57
1180,27.57
1181,27.779999
1182,27.939999
1183,28.029999
1184,27.98
1185,27.75
1186,27.26
1187,27.13
1188,27.029999
1189,27.099998
1190,27.05
1191,27.08
1192,27.029999
1193,27.119999
1194,27.13
1195,27.09
1196,26.92
1197,26.9
1198,26.92
1199,27.07
1200,27.189999
1201,27.25
1202,27.3
1203,27.42
1204,27.41
1205,27.38
1206,27.42
1207,27.199999
1208,27.279999
1209,27.42
1210,27.609999
1211,28.15
1212,28.26
1213,27.89
1214,27.8
1215,28.01
1216,28.41
1217,28.51
1218,28.63
1219,28.019999
1220,28.189999
1221,28.51
1222,28.38
1223,28.07
1224,27.91
1225,27.96
1226,27.65
1227,27.64
1228,28.07
1229,28.13
1230,28.109999
1231,28.199999
1232,28.16
1233,28.21
1234,28.22
1235,28.17
1236,28.24
1237,28.539999
1238,28.84
1239,28.92
1240,29.099998
1241,28.89
1242,28.76
1243,28.539999
1244,28.519999
1245,28.519999
1246,28.539999
1247,28.39
1248,28.76
1249,29.13
1250,28.859999
1251,28.779999
1252,28.43
1253,28.939999
1254,29.269999
1255,29.32
1256,29.22
1257,28.88
1258,28.91
1259,28.64
1260,28.8
1261,28.82
1262,28.81
1263,28.609999
1264,28.59
1265,28.59
1266,29.07
1267,29.01
1268,29.269999
1269,29.189999
1270,29.289999
1271,29.16
1272,29.25
1273,29.22
1274,28.529999
1275,28.49
1276,28.619999
1277,28.71
1278,28.88
1279,28.769999
1280,28.8
1281,28.74
1282,28.859999
1283,28.89
1284,28.66
1285,28.58
1286,29.269999
1287,29.15
1288,29.32
1289,28.98
1290,28.89
1291,28.599998
1292,28.71
1293,28.619999
1294,28.75
1295,28.82
1296,28.689999
1297,28.609999
1298,28.66
1299,28.9
1300,28.81
1301,28.779999
1302,28.5
1303,28.539999
1304,28.76
1305,28.849998
1306,29.039999
1307,28.68
1308,28.519999
1309,28.82
1310,28.93
1311,29.21
1312,29.07
1313,28.949999
1314,29.08
1315,29.31
1316,29.22
1317,29.019999
1318,28.76
1319,28.869999
1320,29.029999
1321,29.13
1322,29.17
1323,29.449999
1324,29.23
1325,29.179998
1326,29.26
1327,29.0
1328,28.93
1329,28.939999
1330,29.029999
1331,29.07
1332,29.119999
1333,28.9
1334,28.83
1335,29.23
1336,29.14
1337,29.119999
1338,28.93
1339,29.17
1340,29.08
1341,29.57
1342,29.609999
1343,30.13
1344,30.47
1345,30.76
1346,30.71
1347,30.26
1348,30.029999
1349,29.84
1350,29.769999
1351,29.39
1352,29.41
1353,29.369999
1354,29.64
1355,29.84
1356,29.9
1357,29.9
1358,29.939999
1359,29.81
1360,29.689999
1361,29.599998
1362,29.46
1363,29.63
1364,29.789999
1365,29.89
1366,29.65
1367,29.84
1368,29.65
1369,29.529999
1370,29.599998
1371,29.76
1372,29.72
1373,29.48
1374,29.31
1375,29.189999
1376,29.32
1377,29.59
1378,29.71
1379,30.06
1380,30.21
1381,30.039999
1382,29.92
1383,29.81
1384,29.49
1385,29.46
1386,29.179998
1387,29.42
1388,29.25
1389,29.25
1390,28.92
1391,29.039999
1392,29.119999
1393,29.099998
1394,28.68
1395,29.019999
1396,29.08
1397,28.849998
1398,28.789999
1399,29.0
1400,28.92
1401,28.789999
1402,28.949999
1403,28.9
1404,29.039999
1405,29.08
1406,28.66
1407,28.66
1408,28.68
1409,28.58
1410,28.599998
1411,28.72
1412,28.82
1413,28.539999
1414,28.47
1415,28.42
1416,28.25
1417,28.56
1418,28.42
1419,28.21
1420,28.3
1421,28.18
1422,28.029999
1423,28.109999
1424,28.099998
1425,28.21
1426,28.56
1427,28.849998
1428,28.619999
1429,28.42
1430,28.24
1431,28.07
1432,27.96
1433,27.609999
1434,27.55
1435,27.26
1436,27.539999
1437,27.43
1438,27.41
1439,27.279999
1440,27.32
1441,27.019999
1442,27.09
1443,27.21
1444,26.97
1445,27.16
1446,27.32
1447,26.81
1448,26.609999
1449,27.08
1450,26.75
1451,26.48
1452,26.449999
1453,26.73
1454,26.359999
1455,26.32
1456,26.17
1457,26.14
1458,26.18
1459,26.18
1460,26.289999
1461,26.24
1462,26.16
1463,26.21
1464,26.189999
1465,26.32
1466,26.25
1467,26.41
1468,26.269999
1469,26.18
1470,26.16
1471,25.92
1472,26.029999
1473,25.869999
1474,25.8
1475,25.769999
1476,25.98
1477,26.109999
1478,26.279999
1479,26.58
1480,26.89
1481,26.47
1482,26.199999
1483,26.13
1484,25.98
1485,25.92
1486,26.019999
1487,26.16
1488,26.23
1489,26.01
1490,26.08
1491,26.17
1492,26.21
1493,26.14
1494,26.43
1495,26.47
1496,26.349998
1497,26.529999
1498,26.34
1499,26.15
1500,25.92
1501,26.17
1502,26.32
1503,26.359999
1504,26.349998
1505,26.519999
1506,26.76
1507,26.55
1508,26.31
1509,26.15
1510,25.65
1511,25.91
1512,25.939999
1513,26.17
1514,26.369999
1515,26.57
1516,26.92
1517,26.779999
1518,26.31
1519,26.119999
1520,25.939999
1521,26.019999
1522,25.81
1523,26.09
1524,26.15
1525,26.32
1526,26.43
1527,26.39
1528,26.3
1529,26.529999
1530,26.519999
1531,26.699999
1532,26.55
1533,26.439999
1534,26.01
1535,26.38
1536,26.68
1537,26.76
1538,26.91
1539,26.65
1540,26.539999
1541,26.82
1542,27.01
1543,26.81
1544,26.76
1545,26.689999
1546,26.68
1547,26.849998
1548,26.89
1549,27.01
1550,26.81
1551,26.74
1552,26.63
1553,26.76
1554,26.779999
1555,26.75
1556,26.74
1557,26.25
1558,26.869999
1559,26.859999
1560,27.47
1561,27.539999
1562,27.699999
1563,28.15
1564,28.15
1565,27.23
1566,26.859999
1567,26.97
1568,26.98
1569,26.789999
1570,26.67
1571,26.699999
1572,26.75
1573,26.689999
1574,26.71
1575,27.039999
1576,27.22
1577,27.01
1578,27.029999
1579,27.41
1580,27.49
1581,27.65
1582,27.56
1583,27.439999
1584,27.64
1585,27.779999
1586,27.699999
1587,27.57
1588,27.599998
1589,27.57
1590,27.34
1591,27.66
1592,27.779999
1593,27.81
1594,27.699999
1595,27.539999
1596,27.789999
1597,28.06
1598,27.88
1599,27.699999
1600,27.74
1601,27.769999
1602,27.789999
1603,27.97
1604,28.08
1605,28.25
